日期,内容,来源
2010/11/12,瑞银证券：中兴通讯手机招标再次拿下大单,Wind
2010/11/17,国泰君安：给予通信设备行业“增持”评级,Wind
2010/11/18,银河证券：看好光通信设备和网络配线设备行业,Wind
2010/11/19,周五资金净流入净流出十大个股名单,Wind
2010/11/19,申银万国：中兴通讯成长加速估值仍在低位,Wind
2010/11/22,申银万国：通信行业资本开支提速带来主题性机会,Wind
2010/11/29,中信证券：等待政策信号进一步明朗,Wind
2010/12/2,华泰联合：推荐通信行业三条投资主线,Wind
2010/12/2,长江证券：中兴通讯进入日本市场前景向好,Wind
2010/12/2,申银万国：中兴通讯当前估值仍在低谷,Wind
2010/12/3,光大证券：中兴通讯亚太市场蓄势待发,Wind
2010/12/9,中信建投：中兴通讯印度新单促明年业绩增长,Wind
2010/12/9,申银万国：中兴通讯当前估值仍在低谷,Wind
2010/12/9,中兴通讯印度签价值8500万美元合同,Wind
2010/12/10,申银万国：三网齐发光拉动需求高增长,Wind
2010/12/13,中兴通讯252万股股权激励股周三上市,Wind
2010/12/15,申银万国：中移动150亿宽带投资将拉升光通信行业需求,Wind
2010/12/16,中信证券推出2011年个股黄金组合,Wind
2010/12/17,中兴通讯在德国Darmstadt设立办事处,Wind
2010/12/21,中兴通讯：不遗余力推进C-RAN建设,Wind
2010/12/21,中国移动加速4G领域部署,Wind
2010/12/22,中兴智利计划2011年增长20-30%,Wind
2010/12/22,国金证券：中兴通讯目前价格是安全买点,Wind
2010/12/23,中兴通讯拟6亿元设立西安软件公司,上方网
2010/12/23,传中兴通讯母公司谋求上市,
2010/12/24,周五资金净流入净流出十大个股名单,Wind
2010/12/24,申银万国：五年通信投资2万亿符合预期,Wind
2010/12/24,中兴通讯挺进创投业,
2010/12/28,中兴通讯ZXONE8000系列通过国家863课题全面设备测试,半导体协会
2010/12/28,东方证券：通信行业设备投资或超预期,Wind
2010/12/28,中兴通讯申请授信额度加码,Wind
2010/12/28,深圳资本市场20年发展历程回顾,深圳证监局
2010/12/29,工信部公布2010年五大信息产业重大技术发明,《财经》网络版
2010/12/29,工信部公布2010年五大信息产业重大技术发明,Wind
2011/1/5,中兴预计今年终端产品销量增长33%,
2011/1/5,中兴通讯称去年终端产品出货量同比增五成,
2011/1/5,中兴通讯2010年终端产品销量增长近50%,Wind
2011/1/5,何士友谈中兴手机布局：未来三年冲击全球前三,
2011/1/7,华为去年终端产品收入同比增14%,Wind
2011/1/7,中兴美国制定三年目标：以4G终端全面突破,比特网
2011/1/7,中兴4G终端今年全面上市 重点锁定美国,
2011/1/11,Wind资讯：券商今年看好33只概念股,Wind
2011/1/13,德国公司要求欧盟继续调查中国补贴问题,Wind
2011/1/17,中兴通讯印度公司任命崔良军为CEO,上方网
2011/1/17,光大证券：维持通信行业整体“增持”评级,Wind
2011/1/20,中兴通讯年度市场滚动份额全球第三,赛迪网
2011/1/20,招商证券：云计算市场规模发展有限,Wind
2011/1/24,中兴通讯：“中兴债1”31日付息,Wind
2011/1/25,光大证券：对通信行业整维持增持评级,Wind
2011/1/26,中兴：印尼CDMA技术有望显著发展 智能机空白,比特网
