Date,pred
2010/2/4,0.9641121625900269
2010/2/5,0.9804116487503052
2010/2/9,0.9348400831222534
2010/2/24,0.8291594684123993
2010/2/25,0.807923436164856
2010/3/11,0.9803909063339232
2010/3/25,0.8838292360305786
2010/4/8,0.9811733961105348
2010/4/9,0.5965820997953415
2010/4/12,0.7667011022567749
2010/4/16,0.9584717154502868
2010/4/28,0.977420449256897
2010/4/29,-0.2881631255149841
2010/4/30,-0.9084789380431176
2010/5/10,0.7947120666503906
2010/5/12,0.4830161929130554
2010/5/13,0.7097476720809937
2010/5/17,0.9689959287643432
2010/5/18,0.9746435880661012
2010/6/1,0.9731626510620116
2010/6/2,-0.7640199661254883
2010/6/4,0.1064628362655639
2010/6/17,0.909370481967926
2010/6/18,0.7825180292129517
2010/6/28,0.9285969734191896
2010/7/5,0.7349645495414734
2010/7/8,-0.8677222579717636
