preds,targets,dates,close
0.50938267,1.0,2018/10/19,16.57
0.49783543,1.0,2018/10/22,17.79
0.54474,0.0,2018/10/23,17.34
0.54481906,0.0,2018/10/24,17.29
0.5434807,1.0,2018/10/25,17.44
0.5311337,0.0,2018/10/26,17.25
0.5474786,1.0,2018/10/29,17.45
0.511185,0.0,2018/10/30,16.89
0.5410241,1.0,2018/10/31,16.93
0.48370042,1.0,2018/11/1,17.2
0.51846075,1.0,2018/11/2,18.34
0.49616942,0.0,2018/11/5,18.23
0.5258401,1.0,2018/11/6,19.03
0.5358969,1.0,2018/11/7,19.59
0.52431947,0.0,2018/11/8,19.4
0.528666,1.0,2018/11/9,19.87
0.5171684,1.0,2018/11/12,20.2
0.53753567,1.0,2018/11/13,20.3
0.4741466,0.0,2018/11/14,19.87
0.54278463,1.0,2018/11/15,20.2
0.52606386,1.0,2018/11/16,21.79
0.4974132,0.0,2018/11/19,21.73
0.51387066,0.0,2018/11/20,20.51
0.53703696,1.0,2018/11/21,20.8
0.5137414,0.0,2018/11/22,20.46
0.5263961,0.0,2018/11/23,19.77
0.52349484,1.0,2018/11/26,20.43
0.5501989,1.0,2018/11/27,20.99
0.5296746,0.0,2018/11/28,20.56
0.5254655,0.0,2018/11/29,19.49
0.5187602,1.0,2018/11/30,19.87
0.5188625,1.0,2018/12/3,21.44
0.54595584,0.0,2018/12/4,21.27
0.48886737,0.0,2018/12/5,21.09
0.5179991,0.0,2018/12/6,19.89
0.5181934,1.0,2018/12/7,19.99
0.52106285,1.0,2018/12/10,20.04
0.5184143,1.0,2018/12/11,20.34
0.5486848,0.0,2018/12/12,20.0
0.48909405,1.0,2018/12/13,20.2
0.5386614,0.0,2018/12/14,19.65
0.50424266,0.0,2018/12/17,19.25
0.5168883,0.0,2018/12/18,19.1
0.5378137,0.0,2018/12/19,19.02
0.5259278,1.0,2018/12/20,19.36
0.5352841,0.0,2018/12/21,19.24
0.5083909,1.0,2018/12/24,20.26
0.5112437,1.0,2018/12/25,20.36
0.5335002,0.0,2018/12/26,19.86
0.4977673,1.0,2018/12/27,19.9
0.50460744,0.0,2018/12/28,19.59
0.51297915,0.0,2019/1/2,19.56
0.5137943,0.0,2019/1/3,18.78
0.5565958,1.0,2019/1/4,19.2
0.49998236,1.0,2019/1/7,20.02
0.5544753,0.0,2019/1/8,19.9
0.52805865,1.0,2019/1/9,19.92
0.50675416,1.0,2019/1/10,20.07
0.5263754,1.0,2019/1/11,20.51
0.5345352,0.0,2019/1/14,20.09
0.5033297,1.0,2019/1/15,20.6
0.5325244,0.0,2019/1/16,20.31
0.5149585,0.0,2019/1/17,20.01
0.53154665,0.0,2019/1/18,19.98
0.55239725,1.0,2019/1/21,21.04
0.5343308,0.0,2019/1/22,20.44
0.5326482,1.0,2019/1/23,20.45
0.5158254,0.0,2019/1/24,20.37
0.5143993,0.0,2019/1/25,20.32
0.5085088,0.0,2019/1/28,20.24
0.5278927,0.0,2019/1/29,19.98
0.5300922,0.0,2019/1/30,19.71
0.52982444,1.0,2019/1/31,20.11
0.5324762,1.0,2019/2/1,20.41
0.57908857,1.0,2019/2/11,20.87
0.51155305,1.0,2019/2/12,21.06
0.512364,1.0,2019/2/13,22.95
0.52440673,0.0,2019/2/14,22.85
0.5562713,1.0,2019/2/15,23.0
0.5352624,1.0,2019/2/18,24.14
0.5491965,0.0,2019/2/19,24.06
0.5278273,0.0,2019/2/20,24.0
0.50624305,1.0,2019/2/21,25.31
0.5287245,1.0,2019/2/22,27.84
0.5497916,1.0,2019/2/25,30.31
0.5550922,0.0,2019/2/26,29.9
0.5221276,0.0,2019/2/27,29.45
0.53521615,1.0,2019/2/28,29.8
0.5392659,0.0,2019/3/1,29.73
0.53492975,1.0,2019/3/4,30.31
0.5490801,1.0,2019/3/5,31.65
0.50048393,0.0,2019/3/6,31.3
0.5568453,0.0,2019/3/7,30.4
0.5360216,0.0,2019/3/8,29.21
0.510831,1.0,2019/3/11,30.4
0.5154844,1.0,2019/3/12,31.09
0.50559103,0.0,2019/3/13,28.68
0.5039164,0.0,2019/3/14,28.25
0.6177006,1.0,2019/3/15,28.38
0.57036614,1.0,2019/3/18,29.19
0.4737419,0.0,2019/3/19,29.03
0.4680767,0.0,2019/3/20,28.98
0.46892354,0.0,2019/3/21,28.9
0.4949042,0.0,2019/3/22,28.22
0.4681766,1.0,2019/3/25,28.33
0.48602852,0.0,2019/3/26,27.13
0.51945657,0.0,2019/3/27,26.67
0.46846125,1.0,2019/3/28,29.34
0.5943833,0.0,2019/3/29,29.2
0.48001695,1.0,2019/4/1,30.0
0.5722456,0.0,2019/4/2,29.9
0.49342746,0.0,2019/4/3,29.85
0.45835698,1.0,2019/4/4,29.98
0.49427423,0.0,2019/4/8,29.24
0.49586836,1.0,2019/4/9,30.2
0.5634956,1.0,2019/4/10,31.5
0.5373988,0.0,2019/4/11,30.39
0.47203755,0.0,2019/4/12,30.26
0.4973269,1.0,2019/4/15,30.5
0.4905993,1.0,2019/4/16,33.55
0.48143154,1.0,2019/4/17,34.08
0.4786949,0.0,2019/4/18,34.09
0.4918135,1.0,2019/4/19,36.49
0.47471213,1.0,2019/4/22,36.76
0.4879519,0.0,2019/4/23,35.53
0.48796442,0.0,2019/4/24,35.02
0.48007238,0.0,2019/4/25,33.65
