date,open,high,low,close,volume,increase,increase_rate,change,PE,PB,A-index,communication-index,label
2010/2/4,2.6357154484038516,2.6611113537586886,2.693347636815856,2.7471026255197186,-0.8632893579304635,1.1615372790584608,0.645737794858806,-0.7524601516927634,0.8960057333149367,1.3233455468633362,-0.7158608438309169,-0.7826001281024573,1
2010/2/5,2.666568895361527,2.6586934309243544,2.7298756225562526,2.710128344651,-0.8637763587548866,-0.4298330979613575,-0.27081767118875727,-0.7535723202669066,0.8869843074072611,1.2972128565346888,-0.7665226026647923,-0.7913384015966041,0
2010/2/9,2.712231996858887,2.6429769325011834,2.717279765404392,2.674386539811237,-0.9203635378540848,-0.8493761973574915,-0.5091630889039099,-0.8837578305846633,0.8782602051634979,1.2719331620327918,-0.75899433608612,-0.7949193984600204,0
2010/2/24,2.8393481983245086,3.031053547411795,2.918813479834167,3.0983582937725522,-0.8508455197453623,2.7529076560782793,1.503625794505546,-0.7292281859217732,0.997420487783576,1.617008746491196,-0.6385612592723362,-0.6614440104207107,1
2010/2/25,3.246613698165821,3.1326063064538245,3.202220265751039,3.111915530091083,-0.8779895253025108,0.16331404256421111,0.060547488434206966,-0.7907681803576943,1.0007692911560697,1.6267018808860951,-0.5942636680219602,-0.6521010783461243,1
2010/3/11,2.9183330225361575,2.846082450585242,2.9440051941378895,2.919649269573742,-0.9437790308430509,0.32245108026619296,0.15176479613331859,-0.9399841307219006,0.9533187816876393,1.489292007704007,-0.618360090812149,-0.6640794091392297,1
2010/3/25,2.717168548372115,2.6526486238385196,2.758846094005533,2.7310804371432735,-0.9112598449543818,0.26458306655638136,0.12476362485004804,-0.8663338562564206,0.9067798039783105,1.3545186670773317,-0.5916625677030758,-0.615723317107656,1
2010/4/8,2.567837865096967,2.4979015624411414,2.522043979550547,2.51293218001783,-0.8137033669505189,-0.6323711459456981,-0.3985784489230806,-0.645259458573965,0.8529446600426956,1.1986530660073555,-0.4638120908815888,-0.6253285539024642,0
2010/4/9,2.611032690837712,2.582528861642833,2.7046839082525307,2.6608293034927066,-0.7000466193660098,1.7402174161565767,1.007638310487982,-0.3876688593738093,0.8894450519414883,1.3043470034493343,-0.42421993274906356,-0.5767042171084785,1
2010/4/12,2.6912516529276673,2.7771716498067223,2.7928549083155576,2.87035022841545,-0.6423132599550188,2.4635675875292216,1.3961158952336756,-0.25686547762597295,0.9411519843880417,1.4540865435817334,-0.41760631538088383,-0.5124951896206816,1
